State,Male,Female,Total
Andhra Pradesh,69.4,51.5,60.4
Arunachal Pradesh,67.4,52.0,59.9
Assam,75.4,63.0,69.3
Bihar,69.7,49.0,59.8
Chhattisgarh,77.0,55.1,66.0
Delhi,89.4,73.1,81.9
Goa,91.7,81.6,86.6
Gujarat,81.6,61.4,71.7
Haryana,81.6,60.0,71.4
Himachal Pradesh,89.1,74.6,81.9
Jammu & Kashmir,73.8,51.6,63.2
Jharkhand,72.9,48.9,61.1
Karnataka,77.6,59.7,68.7
Kerala,95.4,90.8,93.0
Madhya Pradesh,74.7,52.4,63.9
Maharashtra,85.1,68.5,77.0
Manipur,83.4,68.9,76.2
Meghalaya,71.5,68.4,69.9
Mizoram,88.2,79.8,84.1
Nagaland,79.0,71.5,75.3
Odisha,79.6,60.7,70.2
Punjab,76.6,65.7,71.4
Rajasthan,76.2,45.8,61.4
Sikkim,84.6,72.4,78.9
Tamil Nadu,82.0,65.0,73.5
Tripura,90.1,79.5,84.9
Uttar Pradesh,76.3,53.7,65.5
Uttarakhand,86.6,66.2,76.3
West Bengal,78.4,65.5,72.1
India,77.2,57.9,67.8
